"Factor","Successes","Failures"
0,3,6
1,30,32
2,27,29
3,7,11
4,7,15
5,20,30
6,6,10
7,3,2
8,3,3
9,6,0
10,9,10
12,1,4
13,1,2
14,1,1
15,1,1
16,1,1
17,2,4
18,1,4
19,2,0
20,12,11
22,0,1
23,1,1
24,0,1
25,3,3
1050,1,1
27,1,1
540,0,1
30,3,4
32,4,2
33,1,0
34,1,1
35,3,2
36,1,0
38,0,1
1575,1,1
40,5,7
41,0,1
42,0,1
43,0,4
44,0,1
45,0,1
50,7,6
55,1,0
56,0,2
58,1,0
60,1,1
1034,0,1
8255,0,1
65,1,0
66,2,0
12355,1,1
70,1,1
584,1,0
73,1,0
74,2,0
76,0,1
80,0,2
1110,1,0
600,1,2
89,0,1
90,1,1
96,1,0
100,9,8
107,0,1
120,2,2
121,0,1
640,1,0
3208,0,1
138,2,0
140,1,1
656,1,1
150,1,0
2200,0,1
154,1,0
155,1,0
26,1,0
160,1,1
1186,2,1
166,1,0
682,1,0
13000,1,0
180,1,0
186,1,0
187,0,1
700,2,0
197,1,0
200,2,3
220,1,0
61900000,1,0
2000,1,0
3300,0,1
865000,1,1
750,0,1
9456,1,1
552,1,0
971000,1,0
250,0,1
800,1,0
9000,2,2
300,2,2
324,0,1
29000,1,0
50000,1,0
346,1,0
350,0,1
6000,2,1
1400,1,2
389,1,1
5000,0,2
400,1,2
12700,1,0
1441,0,1
1265069,1,0
72,0,1
500,0,1
100000,0,1
13773,0,1
66000,1,0
1500,0,1
480,1,1
1511,0,1
1000,4,4
5108,0,1
-10,0,1
509,0,1
